전철역명,호선,외부코드,x좌표(1px),y좌표(1px)
인천가좌,인천2호선,I215,181,1580
인천공항1터미널,공항철도,A13,104,2131
인천공항2터미널,공항철도,A14,104,2224
인천논현,수인분당선,K262,464,2168
인천대공원,인천2호선,I226,491,1959
인천대입구,인천1호선,I136,384,2289
인천시청,인천1호선,I124,384,1774
인천시청,인천2호선,I221,384,1784
인천터미널,인천1호선,I126,384,1933
인하대,수인분당선,K269,275,2069
일산,경의선,K94,572,325
일산,서해선,S07,561,325
일원,03호선,348,1858,1910
임진강,경의선,K84,138,280
임학,인천1호선,I113,288,1169
자양,07호선,728,1801,1270
작전,인천1호선,I116,288,1323
잠실,02호선,216,1837,1444
잠실,08호선,814,1848,1444
잠실나루,02호선,215,1845,1400
잠실새내,02호선,217,1819,1511
잠원,03호선,338,1483,1505
장기,김포도시철도,693,218,723
장승배기,07호선,740,1149,1700
장암,07호선,709,2034,313
장자호수공원,08호선,808,2183,1002
장지,08호선,819,2031,1865
장한평,05호선,543,1936,963
전곡,01호선,98,2410,63
전대.에버랜드,용인경전철,Y126,2386,2393
정릉,우이신설경전철,950,1520,573
정발산,03호선,311,406,513
정부과천청사,04호선,439,1218,2059
정왕,04호선,455,580,2275
정왕,수인분당선,K257,580,2286
정자,신분당선,D12,1974,2170
정자,수인분당선,K230,1984,2170
제기동,01호선,125,1699,736
제물포,01호선,158,275,1867
종각,01호선,131,1099,783
종로3가,01호선,130,1221,723
종로3가,03호선,329,1221,723
종로3가,05호선,534,1221,750
종로5가,01호선,129,1319,736
종합운동장,02호선,218,1786,1585
종합운동장,09호선,930,1797,1585
주안,01호선,156,275,1768
주안,인천2호선,I218,282,1776
주안국가산단,인천2호선,I217,207,1701
주엽,03호선,310,364,488
죽전,수인분당선,K233,1960,2286
중계,07호선,714,1976,444
중곡,07호선,724,1976,917
중동,01호선,149,479,1632
중랑,경의선,K119,1906,704
중랑,경춘선,P119,1906,691
중앙,04호선,450,902,2275
중앙,수인분당선,K252,902,2286
중앙보훈병원,09호선,938,2150,1478
중화,07호선,719,1976,646
증미,09호선,908,607,1107
증산,06호선,618,780,773
지석,용인경전철,Y112,1834,2366
지식정보단지,인천1호선,I135,384,2257
지축,03호선,319,822,513
지평,경의선,K138,2485,948
지행,01호선,104,2160,63
직산,01-1호선,P167,784,2462
진위,01-1호선,P161,1081,2453
진접,04호선,405,2273,408
창동,01호선,116,1808,396
창동,04호선,412,1808,409
창신,06호선,638,1551,704
천마산,경춘선,P129,2467,622
천안,01-1호선,P169,677,2462
천왕,07호선,749,703,1666
천호,05호선,547,2047,1243
천호,08호선,811,2039,1252
철산,07호선,747,769,1700
청계산입구,신분당선,D10,1648,2029
청구,05호선,537,1537,963
청구,06호선,635,1537,974
청담,07호선,729,1735,1337
청라국제도시,공항철도,A09,104,1085
청량리,01호선,124,1757,736
청량리,경의선,K117,1776,754
청량리,수인분당선,K209,1785,764
청량리,경춘선,P117,1767,744
청명,수인분당선,K239,1641,2286
청산,01호선,99,2369,63
청평,경춘선,P132,2484,513
초당,용인경전철,Y115,1974,2393
초월,경강선,K414,2273,2125
초지,04호선,452,774,2275
초지,수인분당선,K254,774,2286
초지,서해선,S26,774,2264
총신대입구(이수),04호선,432,1297,1711
총신대입구(이수),07호선,736,1296,1700
춘의,07호선,753,558,1520
춘천,경춘선,P140,2484,252
충무로,03호선,331,1320,951
충무로,04호선,423,1313,944
충정로,02호선,243,1037,896
충정로,05호선,531,1036,885
캠퍼스타운,인천1호선,I133,384,2195
킨텍스,GTX-A,X102,300,490
탄현,경의선,K93,548,280
탑석,의정부경전철,U125,2339,269
탕정,01-1호선,P173,465,2462
태릉입구,06호선,646,1976,575
태릉입구,07호선,717,1976,564
태평,수인분당선,K224,2055,1983
테크노파크,인천1호선,I134,384,2227
퇴계원,경춘선,P125,2282,622
파주,경의선,K87,275,280
판교,신분당선,D11,1974,2088
판교,경강선,K409,1985,2088
팔당,경의선,K128,2401,704
평내호평,경춘선,P128,2416,622
평촌,04호선,441,1119,2059
평택,01-1호선,P165,891,2462
평택지제,01-1호선,P164,943,2462
풍무,김포도시철도,697,338,842
풍산,경의선,K95,572,371
풍산,서해선,S08,561,371
하계,07호선,715,1976,480
하남검단산,05호선,558,2449,1103
하남시청,05호선,557,2395,1103
하남풍산,05호선,556,2344,1103
학동,07호선,731,1610,1460
학여울,03호선,346,1763,1910
한강진,06호선,632,1396,1203
한국항공대,경의선,K102,572,781
한남,경의선,K113,1440,1322
한대앞,04호선,449,963,2275
한대앞,수인분당선,K251,963,2286
한성대입구,04호선,419,1480,664
한성백제,09호선,935,2007,1585
한양대,02호선,209,1758,1041
한티,수인분당선,K216,1659,1814
합정,02호선,238,815,1203
합정,06호선,623,807,1195
행당,05호선,539,1627,963
행신,경의선,K100,572,648
혜화,04호선,420,1450,694
호구포,수인분당선,K263,464,2138
홍대입구,02호선,239,850,1108
홍대입구,공항철도,A03,836,1108
홍대입구,경의선,K106,863,1108
홍제,03호선,324,1114,554
화계,우이신설경전철,945,1520,413
화곡,05호선,517,579,1259
화랑대,06호선,647,2065,575
화서,01-1호선,P154,1198,2250
화정,03호선,315,637,513
회기,01호선,123,1808,687
회기,경의선,K118,1827,704
회기,경춘선,P118,1819,691
회룡,01호선,111,1965,241
회룡,의정부경전철,U111,1957,248
회현,04호선,425,1297,1041
효자,의정부경전철,U121,2247,193
효창공원앞,06호선,628,1141,1274
효창공원앞,경의선,K109,1130,1274
흑석,09호선,919,1267,1448
흥선,의정부경전철,U115,1981,193
